epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.48720628023147583,0.32588785886764526,0.5127937197685242,1e-05,0.42345836758613586,0.8510794043540955,0.3290800154209137,0.1976691633462906,0.6709200143814087,0.1745426058769226,0.019136467948555946
1,0.657640278339386,0.49501127004623413,0.342359721660614,1e-05,0.6970891356468201,0.8962019681930542,0.3165557384490967,0.18860450387001038,0.6834443211555481,0.008461076766252518,0.0010703734587877989
2,0.7368701696395874,0.5868517160415649,0.2631298005580902,1e-05,0.8112061619758606,0.9011485576629639,0.2713380753993988,0.15738266706466675,0.7286618947982788,0.003702766029164195,0.0002689342072699219
3,0.7830067873001099,0.646420955657959,0.21699321269989014,1e-05,0.8526602387428284,0.9203400015830994,0.22069057822227478,0.12414848804473877,0.7793094515800476,0.010726945474743843,0.0007071972941048443
4,0.8027101755142212,0.6734809875488281,0.1972898542881012,1e-05,0.863387405872345,0.9228355884552002,0.30842694640159607,0.18990769982337952,0.6915731430053711,0.6874092221260071,0.17946875095367432
5,0.8221503496170044,0.7009032964706421,0.17784981429576874,1e-05,0.8902289867401123,0.925898015499115,0.5137920379638672,0.35251468420028687,0.48620790243148804,0.8201562166213989,0.4309704899787903
6,0.8431389927864075,0.7310493588447571,0.15686097741127014,1e-05,0.9123325347900391,0.9380195736885071,0.7303541898727417,0.5798701643943787,0.2696457505226135,0.8016757965087891,0.8055590391159058
7,0.8532044291496277,0.7457915544509888,0.14679555594921112,1e-05,0.9158702492713928,0.9425637125968933,0.7922354936599731,0.6612626910209656,0.20776453614234924,0.8660218715667725,0.8628382086753845
8,0.8559339642524719,0.7512884736061096,0.14406612515449524,1e-05,0.910781979560852,0.9462559819221497,0.7764816880226135,0.6405784487724304,0.22351829707622528,0.7549742460250854,0.949107825756073
9,0.8641787767410278,0.7632266879081726,0.13582129776477814,1e-05,0.9244474768638611,0.9446412920951843,0.839031994342804,0.7238736152648926,0.16096803545951843,0.8701313138008118,0.9474873542785645
